Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
CE and BM Brahmani Basin Samal,ACE-RHWC-01/2024-25,2024_CEBBS_103190_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost(online), EMD(Online), Affidavit and Registration Certificate",20-Jun-2024 10:00 AM,11-Jul-2024 11:30 AM,20-Jun-2024 10:00 AM,10-Jul-2024 05:00 PM,20-Jun-2024 10:00 AM ,26-Jun-2024 05:00 PM ,20-Jun-2024 10:00 AM,10-Jul-2024 05:00 PM,14-Aug-2024 11:30 AM,"3,32,650",Yes,fixed,,Nil,Nil,1.0,1st Corrigendum,Technical Bid,,1.0,ICICI BANK,"10,000",Nil,Nil,No,"Additional Chief Engineer, RHWC, Samal","Additional Chief Engineer, Rengali Head Works Circle, Samal, At/Po-Samal, Dist-Angul, Odisha, 759037, Email id-seicsamal19@gmail.com",Protection to scoured bank on Brahmani Right near village Chandipal of Gondia Block.,Protection to scoured bank on Brahmani Right near village Chandipal of Gondia Block.,Please refer Tender documents. ,NA ,"3,32,64,603",Civil Works - Others,Flood Control Work ,Tender,90.0,240.0,"Gandia, Dhenkanal",759016.0,NA ,NA ,NA ,"Office of the ACE, RHWC, Samal",No ,No,AOC,10-Sep-2024,"INR 28,278,238.78",240.0,Amlan Biswal,12-Sep-2024 06:28 PM,Chandipal_LOA.pdf (678.00 KB),Award of Contract,1.0,2509268.0,NIHAR RANJAN PATI,INR,"28,278,238.78",1,2510608,ABHAYA KUMAR SAHOO,10-Jul-2024 12:11 PM,Rejected-Finance,L2 Bidder,24-Aug-2024 11:36 AM,Finance,The Financial bids of all bidders have been downloaded successfully.,Amlan Biswal,14-Aug-2024 07:09 PM,finance_501800.pdf,BOQ Comparative Chart,"ACE, RHWC, Samal",Internal,"Asst. to ACE, RHWC, Samal, Estimator, RHWC, Samal SE, DAO, Estimator of RLBC Division, Kamakhyanagar",Amlan Biswal,24-Aug-2024 11:36 AM,finsummary_501800.pdf (312.48 KB),CE and BM Brahmani Basin Samal,2024_CEBBS_103190_4,ACE-RHWC-01/2024-25,Protection to scoured bank on Brahmani Right near village Chandipal of Gondia Block.,Technical,The Technical Bids of all Bidders have been Downloaded Successfully.,Nitish Abinash Bhoi,15-Jul-2024 04:24 PM,,"ACE, RHWC, Samal",Internal,"Asst. to ACE, RHWC, Samal and SE, Estimator, DAO of RLBC Division, Kamakhyanagar",Amlan Biswal,07-Aug-2024 07:16 PM,14-Aug-2024 11:30 AM,techsummary_501800.pdf (150.79 KB),AOC
,,,,,,,,,,,,,,,,.pdf,"PAN, GSTIN, No Relation Certificate and any other documents as per DTCN.",,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,2509160,ABHISHEK SAMANTA,06-Jul-2024 11:29 PM,Rejected-AOC,Loser of the Transparent lottery for finalisation of Bid.,12-Sep-2024 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,2511233,AKASH SAMANTARAY,10-Jul-2024 01:50 PM,Rejected-AOC,Loser of the Transparent lottery for finalisation of Bid.,12-Sep-2024 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,2508359,AMIYA KUMAR MALLICK,09-Jul-2024 09:15 PM,Rejected-AOC,Loser of the Transparent lottery for finalisation of Bid.,12-Sep-2024 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,2505510,ANIL KUMAR BISWAL,06-Jul-2024 09:03 AM,Rejected-AOC,Loser of the Transparent lottery for finalisation of Bid.,12-Sep-2024 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,2509304,ANIL KUMAR MALIK,07-Jul-2024 01:43 PM,Rejected-AOC,Loser of the Transparent lottery for finalisation of Bid.,12-Sep-2024 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,2508881,Anirudha Gopinath Rath,07-Jul-2024 10:51 AM,Rejected-AOC,Loser of the Transparent lottery for finalisation of Bid.,12-Sep-2024 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,2511232,ANSHUMAN ACHARYA,10-Jul-2024 02:21 PM,Rejected-AOC,Loser of the Transparent lottery for finalisation of Bid.,12-Sep-2024 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,2511381,ASHISH RANJAN SAHOO,10-Jul-2024 03:43 PM,Rejected-AOC,Loser of the Transparent lottery for finalisation of Bid.,12-Sep-2024 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,2510879,ASIT KUMAR BHUYAN,10-Jul-2024 09:49 AM,Rejected-AOC,Loser of the Transparent lottery for finalisation of Bid.,12-Sep-2024 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
